Word,Score
우,0.000000
신,0.000000
‘,0.000000
획,0.000000
유,0.000000
촌,0.000000
예,0.000000
답,0.000000
관,0.000000
2,0.000000
감,0.000000
직,0.000000
중,0.000000
확,0.000000
통,0.000000
/,0.000000
판,0.000000
를,0.000000
악,0.000000
글,0.000000
는,0.000000
],0.000000
생,0.000000
활,0.000000
함,0.000000
자,0.000000
선,0.000000
목,0.000000
용,0.000000
기,0.000000
최,0.000000
간,0.000000
있,0.000000
을,0.000000
격,0.000000
콘,0.000000
군,0.000000
산,0.000000
록,0.000000
로,0.000000
타,0.000000
분,0.000000
포,0.000000
▸,0.000000
금,0.000000
환,0.000000
근,0.000000
미,0.000000
소,0.000000
가,0.000000
인,0.000000
상,0.000000
검,0.000000
발,0.000000
변,0.000000
특,0.000000
민,0.000000
조,0.000000
반,0.000000
약,0.000000
졸,0.000000
른,0.000000
%,0.000000
터,0.000000
[,0.000000
별,0.000000
율,0.000000
A,0.000000
와,0.000000
),0.000000
따,0.000000
범,0.000000
당,0.000000
9,0.000000
나,0.000000
부,0.000000
디,0.000000
력,0.000000
출,0.000000
종,0.000000
물,0.000000
동,0.000000
음,0.000000
능,0.000000
구,0.000000
경,0.000000
U,0.000000
시,0.000000
o,0.000000
없,0.000000
증,0.000000
모,0.000000
세,0.000000
에,0.000000
0,0.000000
표,0.000000
3,0.000000
제,0.000000
다,0.000000
5,0.000000
응,0.000000
점,0.000000
안,0.000000
년,0.000000
국,0.000000
설,0.000000
술,0.000000
라,0.000000
수,0.000000
학,0.000000
한,0.000000
융,0.000000
교,0.000000
집,0.000000
내,0.000000
련,0.000000
충,0.000000
취,0.000000
「,0.000000
농,0.000000
추,0.000000
방,0.000000
체,0.000000
단,0.000000
장,0.000000
실,0.000000
보,0.000000
」,0.000000
괄,0.000000
월,0.000000
평,0.000000
험,0.000000
항,0.000000
공,0.000000
7,0.000000
석,0.000000
해,0.000000
컴,0.000000
건,0.000000
거,0.000000
(,0.000000
면,0.000000
8,0.000000
",",0.000000
등,0.000000
초,0.000000
탐,0.000000
과,0.000000
▮,0.000000
천,0.000000
하,0.000000
의,0.000000
불,0.000000
대,0.000000
입,0.000000
축,0.000000
화,0.000000
참,0.000000
·,0.000000
사,0.000000
급,0.000000
회,0.000000
.,0.000000
접,0.000000
정,0.000000
계,0.000000
마,0.000000
외,0.000000
명,0.000000
같,0.000000
래,0.000000
차,0.000000
m,0.000000
야,0.000000
>,0.000000
이,0.000000
연,0.000000
후,0.000000
원,0.000000
문,0.000000
고,0.000000
Y,0.000000
일,0.000000
합,0.000000
여,0.000000
쪽,0.000000
스,0.000000
운,0.000000
류,0.000000
강,0.000000
적,0.000000
재,0.000000
은,0.000000
서,0.000000
6,0.000000
성,0.000000
논,0.000000
승,0.000000
지,0.000000
열,0.000000
법,0.000000
4,0.000000
결,0.000000
만,0.000000
D,0.000000
비,0.000000
않,0.000000
준,0.000000
K,0.000000
영,0.000000
전,0.000000
또,0.000000
주,0.000000
위,0.000000
두,0.000000
무,0.000000
1,0.000000
층,0.000000
업,0.000000
어,0.000000
바,0.000000
도,0.000000
된,0.000000
형,0.000000
육,0.000000
개,0.000000
“,0.000000
곡,0.000000
작,0.000000
역,0.000000
편,0.000000
<,0.000000
아,0.000000
요,0.000000
’,0.000000
식,0.000000
따른,0.763158
의하,0.468750
8~,0.200000
50,0.241379
(5,0.063063
▮[,0.218750
스포,1.000000
소재,0.714286
외국,1.000000
지원,0.666667
학력,0.171233
동국,0.318841
탐구,1.000000
금융,0.571429
성적,0.807692
[정,0.174603
제외,0.184783
편제,1.000000
제3,0.076087
동안,0.130435
경력,0.106061
제출,0.195652
국어,0.484375
약학,1.000000
추천,0.700000
적용,0.833333
따라,0.236842
특별,0.108696
실기,0.644068
▸국,0.454545
국가,0.125000
41,0.097826
출결,0.363636
포함,0.909091
연도,0.147059
[수,0.380952
[한,0.095238
(모,0.081081
3),0.055556
수능,0.427273
선발,0.627907
출전,0.227273
전자,0.142857
25,0.099644
영역,0.305556
발표,0.583333
문항,0.312500
사회,0.607843
유의,0.296296
지정,0.107527
재무,0.078125
무역,1.000000
다음,0.318182
법학,0.172414
대한,0.140625
있는,0.354839
신입,0.888889
(0,0.099099
범위,0.714286
미충,0.180000
자로,0.108696
교육,0.550000
등록,0.140625
시스,0.409091
43,0.065217
학교,0.239726
증빙,0.705882
농어,0.705882
지역,0.129032
검정,0.900000
이상,0.425197
초등,0.555556
참조,1.000000
이와,0.118110
선정,0.162791
공과,0.400000
제공,0.054348
평생,0.183333
연주,0.147059
합격,0.666667
유통,0.407407
차상,0.875000
작성,0.428571
우리,1.000000
재직,0.312500
표현,0.714286
화학,0.687500
기타,0.051724
모두,0.080537
정시,0.220000
가정,0.142857
입상,0.178571
재외,0.203125
2단,0.053381
디자,1.000000
4등,0.130435
해당,0.812500
중학,0.400000
경영,0.378788
주요,0.357143
<농,0.590909
30,0.298611
과정,0.304348
자유,0.130435
졸업,1.000000
비율,0.565217
연극,0.529412
종합,0.638889
수시,0.227273
비교,0.217391
고사,0.158730
대학,0.312500
물리,1.000000
전형,0.691729
64,0.178571
구분,0.966667
건축,0.700000
다만,0.636364
불가,0.289474
34,0.083333
2개,0.056940
조소,0.444444
이내,0.086614
특성,0.717391
“보,0.833333
40,0.260870
인정,0.476744
취득,1.000000
안내,1.000000
일괄,0.377358
환경,0.454545
48,0.054348
컴퓨,1.000000
36,0.083333
미술,0.140000
비고,0.195652
1단,0.067039
합산,0.185185
직업,1.000000
있다,0.483871
평가,0.816667
반영,0.974684
동일,0.289855
7.,0.131579
없음,0.666667
점수,0.714286
산업,0.466667
12,0.086592
재학,0.359375
정보,0.200000
미등,0.120000
제9,0.054348
요구,1.000000
답안,1.000000
선수,0.116279
아동,0.315789
회계,1.000000
영화,0.277778
과학,0.434783
금속,0.357143
해양,0.156250
방법,0.541667
고등,0.396825
산정,0.266667
세부,0.900000
국/,0.093750
또는,1.000000
등을,0.250000
불교,0.657895
기본,0.252874
18,0.072626
제1,0.130435
감점,1.000000
보육,0.461538
관광,0.448276
경우,0.257576
작품,0.357143
인문,0.267442
Do,0.313433
45,0.054348
아래,0.315789
20,0.412811
70,0.526316
특수,0.097826
식품,1.000000
동등,0.217391
8.,0.240000
바이,0.727273
융합,1.000000
논술,0.969697
「초,0.258065
변경,0.869565
9.,0.565217
특기,0.076087
운영,0.833333
한국,0.964286
가군,0.371429
예술,0.545455
확정,0.600000
만점,0.850000
환산,0.545455
하나,0.736842
5.,0.120690
석차,1.000000
모집,0.912752
관련,0.344828
연속,0.176471
국제,0.078125
수학,0.154545
일반,0.509434
상기,0.312500
35,0.069444
출신,0.227273
서양,0.150000
등에,0.125000
42,0.076087
(외,0.117117
15,0.120112
내용,0.500000
경찰,0.196970
DO,0.313433
글로,1.000000
법령,0.620690
같은,1.000000
기초,0.091954
인원,0.104651
대회,0.078125
2),0.071174
Dr,0.373134
가능,0.314286
실적,0.220339
제2,0.141304
이과,0.055118
방송,0.375000
과목,0.217391
서류,0.775000
미적,0.360000
1),0.058659
UN,1.000000
고교,0.428571
「국,0.193548
대상,0.281250
영어,0.305556
최초,0.545455
6년,0.178571
나군,0.875000
의한,0.218750
입학,0.821429
근무,0.833333
기회,0.126437
마감,0.826087
학생,0.500000
(1,0.279279
응시,1.000000
13,0.058659
판매,0.625000
58,0.086207
거주,0.941176
면접,0.956522
AI,1.000000
원서,0.888889
··,1.000000
[유,0.126984
콘텐,1.000000
문화,0.343750
정원,0.460000
이수,0.149606
체육,1.000000
국내,0.187500
부·,0.750000
산출,0.155556
종목,0.222222
수급,0.081818
등급,0.390625
충원,0.750000
자연,0.456522
기준,0.321839
10,0.226257
승려,0.714286
교과,0.400000
한국화,0.462910
반영비,0.450035
포함),0.797724
방송·,0.456435
직업교,0.801784
선발배,0.681994
(18,0.284747
미술학,0.374166
바이오,0.852803
보육과,0.679366
재직기,0.433013
증빙서,0.727607
대상자,0.395285
전자과,0.212398
25%,0.206651
운영하,0.912871
유의사,0.544331
사회복,0.542326
조소전,0.623610
금속재,0.597614
자연계,0.466252
법학과,0.415227
인정되,0.417635
전형별,0.415851
[한국,0.308607
기회균,0.321634
기본점,0.339032
국내·,0.414578
[정시,0.417855
동국대,0.564660
인원은,0.264135
이수(,0.217357
거주한,0.641689
15%,0.158555
모집단,0.585049
최초합,0.738549
요구하,1.000000
국어교,0.279508
(10,0.212238
스포츠,1.000000
경찰행,0.348155
이상인,0.294303
졸업한,0.469668
반영영,0.373149
있다고,0.695608
정보컴,0.264575
불교학,0.397360
특성화,0.846990
실기(,0.291111
인문계,0.373544
이수한,0.198419
36~,0.204124
실기고,0.291111
화학공,0.707107
학력이,0.320530
180,0.118180
제출서,0.390095
유통과,0.430331
영화영,0.471405
반영방,0.373149
Dre,0.610847
8~9,0.447214
미적용,0.583095
한국사,0.500000
정원내,0.479583
202,0.533571
35%,0.204124
참조),0.480384
서양화,0.387298
4등급,0.361158
신입학,0.942809
재무·,0.279508
실기/,0.450988
10.,0.118180
[유형,0.356348
글로벌,1.000000
졸업(,0.685994
교육과,0.532291
(0점,0.314800
평가(,0.316228
20%,0.206651
50%,0.321634
시스템,0.639602
DON,0.559851
AI소,0.836660
70%,0.668856
컴퓨터,1.000000
제외),0.403786
회계정,0.816497
34~,0.186339
정원외,0.412311
산업체,0.447214
불교미,0.362738
부·모,0.866025
경영학,0.275241
